"date","South Korea"
2023-02-02,0
2023-02-09,0
2023-02-16,0
2023-02-23,0
2023-03-02,1
2023-03-09,0
2023-03-16,0
2023-03-23,0
2023-03-30,1
2023-04-06,6
2023-04-13,11
2023-04-20,12
2023-04-27,13
2023-05-04,10
2023-05-11,10
2023-05-18,10
2023-05-25,9
2023-06-01,6
2023-06-08,6
2023-06-15,3
2023-06-22,1
2023-06-29,3
2023-07-06,4
2023-07-13,1
2023-07-20,3
2023-07-27,3
2023-08-03,3
2023-08-10,0
2023-08-17,0
2023-08-24,0
2023-08-31,0
2023-09-07,0
2023-09-14,0
2023-09-21,0
2023-09-28,0
2023-10-05,0
2023-10-12,0
2023-10-19,0
2023-10-26,0
2023-11-02,0
2023-11-09,0
2023-11-16,0
2023-11-23,0
2023-11-30,0
2023-12-07,0
2023-12-14,0
2023-12-21,0
2023-12-28,0
